Rank,Username,R1 Points,R2 Points,R3 Points
8,nnnnn68,614.0,510.0,575.0
9,trungnotchung,559.0,535.0,455.0
10,duyboy135,434.0,715.0,395.0
11,quydang251,614.0,790.0,140.0
12,flashhh,614.0,610.0,300.0
13,flashmt,434.0,665.0,395.0
14,BaoJiaoPisu,434.0,665.0,395.0
15,magnified,739.0,410.0,300.0
17,_,614.0,665.0,165.0
18,marvinthang,434.0,610.0,395.0
19,nbmnb,614.0,665.0,150.0
20,Khuepr123,614.0,485.0,300.0
21,tungvh04,559.0,410.0,360.0
22,RyoPham,539.0,485.0,300.0
23,ghostwriter,614.0,405.0,300.0
24,tamthegod,434.0,610.0,240.0
25,Mayornaise,434.0,535.0,300.0
26,nvq2309,434.0,535.0,300.0
27,adudakwa,434.0,510.0,300.0
28,anhkha2003,359.0,485.0,395.0
29,pain,559.0,285.0,395.0
30,noobcoder,359.0,510.0,360.0
31,nhphucqt,434.0,485.0,300.0
32,Monarchuwu,434.0,485.0,300.0
33,tuoitrexinloianhchi,434.0,485.0,300.0
35,ntnguyen,434.0,385.0,395.0
36,chemthan,434.0,410.0,370.0
37,minhnguyenxuan60,359.0,610.0,200.0
38,31tranhoangson,434.0,435.0,300.0
39,huyhasun,359.0,510.0,300.0
40,nguyen31hoang08minh2003,359.0,435.0,360.0
41,yamete,434.0,410.0,300.0
42,DeMen100ns,359.0,485.0,300.0
43,tanprodium,359.0,485.0,300.0
44,socpite,614.0,0.0,515.0
45,theshadow_04,434.0,385.0,300.0
46,lmqzzz,434.0,285.0,395.0
47,Mike4235,434.0,405.0,255.0
48,_shin,434.0,360.0,300.0
49,vodacbaoandn,359.0,535.0,195.0
50,tieuphong,434.0,385.0,270.0
51,HungTT,434.0,410.0,240.0
52,bvd,359.0,410.0,300.0
53,haminh0307,359.0,310.0,395.0
54,mewnian,359.0,435.0,255.0
55,karrigan,359.0,485.0,200.0
56,Hien,359.0,435.0,240.0
58,letangphuquy,484.0,485.0,50.0
