Rank,Username,Total Points
5,ngpin04,21750.0
9,Unknown1508,21750.0
14,huutuan,20750.0
23,Mediocrity,16000.0
24,tuoitrexinloianhchi,15250.0
25,karrigan,15250.0
26,31tranhoangson,15250.0
28,LetterC67,15250.0
29,hoanggia042006,15250.0
30,Lam_lai_cuoc_doi,15000.0
31,thangdz,15000.0
32,lto5,14750.0
33,huyhasun,14500.0
34,chubohamhoc,14250.0
35,I_love_Hoang_Yen,13750.0
36,Monarchuwu,13250.0
37,shironeko1702,13250.0
38,binthoi,13250.0
39,lionel_andres_messi_cuccitini,13250.0
41,fryingduc,13250.0
42,shin56,13250.0
43,daoquanglinh2007,13250.0
44,LMAP,13250.0
45,ind1v,13000.0
46,kh0i,13000.0
47,hqmmm,13000.0
49,Khuepr123,12750.0
50,lnth,12750.0
51,khanhmy123,12750.0
52,phamvansam2006,12500.0
53,hieptk,12500.0
54,Vũ_CG_Coder,12500.0
55,mbfibat,12500.0
57,Francesco4203,12250.0
58,bvd,12000.0
59,adudakwa,12000.0
60,tryharderforioi,12000.0
61,ngoctrung05hd,12000.0
62,huyhau6a2,12000.0
63,quanmcvn,11750.0
64,tanprodium,11750.0
65,ducanh2706,11750.0
66,vinaka,11750.0
67,nhamtan,11750.0
68,ATOM,11500.0
69,nathan4690,11500.0
70,bubu2006,11500.0
71,SanguineChameleon,11250.0
73,Pikachu,11250.0
74,quanglm1998,11250.0
75,YugiHackerKhongCopCode,11250.0
76,yamete,11250.0
77,wii,11250.0
78,hung9A,11250.0
79,ndtlop9a1,11000.0
80,Flower_On_Stone,11000.0
81,OSKAZU,11000.0
82,khai99,11000.0
83,hxano,11000.0
84,LeVanThuc,11000.0
85,MrBB,10750.0
86,canhbuomdoigian,10750.0
87,FireGhost130104,10750.0
88,Pirlo,10750.0
89,Zero_OP,10750.0
90,longvu,10750.0
91,DuyTruotTuyen,10750.0
92,anhkha2003,10500.0
93,domino,10500.0
94,Yukari,10500.0
95,Lamduybao,10500.0
96,hphuonghehe,10500.0
97,hdh_,10250.0
98,pemguimn,10250.0
99,tien9d2,10250.0
100,Shyn_,10250.0
101,dwuy,10250.0
102,toidaidot2,10250.0
103,_shr,10000.0
104,khanhtb,10000.0
105,ShadowShark,10000.0
106,hungmaxx,10000.0
107,wuzismine,10000.0
108,anHiep,10000.0
109,Hata_no_Kokoro,10000.0
110,ningia203,10000.0
111,cnn008,10000.0
112,giaminh2211,10000.0
113,congbuithanh,9750.0
114,kitsune,9750.0
115,phongtin27,9750.0
116,Non_Nerd,9750.0
117,trongvan245,9750.0
118,v2v2v2,9750.0
119,huyngoquang78,9750.0
120,AnhNormal,9750.0
121,trnthienphc2003,9750.0
122,tht2005,9500.0
123,tunangoo,9500.0
124,MoonPie04,9500.0
125,BackNoob,9500.0
126,farmerboy,9500.0
127,21tin_cqhung,9500.0
128,phkhanh_ti22,9500.0
129,adeline193,9500.0
130,AliVu,9250.0
131,lenhanbo,9250.0
132,unknownnaciul,9250.0
133,ProTeam15,9250.0
134,nhphucqt,9250.0
135,jessie275,9250.0
136,nguyen31hoang08minh2003,9250.0
137,TrendBattles,9000.0
138,chinhly,9000.0
139,phucsongdonggia,8750.0
140,zipdang04,8750.0
141,Sweetnewbie,8750.0
142,duchung,8750.0
143,Hau,8750.0
144,khanhtai,8750.0
145,Gnoucm,8750.0
146,0x2ee08,8750.0
147,thanh123456,8750.0
148,a520anhlnb,8500.0
149,sheercold,8500.0
150,ntnguyen,8500.0
151,nguyenanhkhoi,8500.0
152,kien2008,8500.0
153,leminhtuanils27,8500.0
154,QioCass,8500.0
155,Beerus,8500.0
156,haminh0307,8250.0
157,khanhdungtrinh,8000.0
158,nguyentien2505,8000.0
159,Ai_2007,8000.0
160,123ntd,7750.0
161,QuitBo,7750.0
162,TTA_,7750.0
163,NekomataOkayu,7750.0
164,lftroq,7750.0
165,hungntils,7750.0
166,NoLove,7750.0
167,tientri2210,7750.0
168,amogus123,7750.0
169,ARSENAL1886,7750.0
170,son2008,7750.0
171,TpG2005,7750.0
172,ILovveyyou,7750.0
173,stew1e,7750.0
174,han2997,7750.0
175,LTTrungCHL,7750.0
176,vuphuong2,7750.0
177,vukhoinguyen,7750.0
178,hungeazyITistrue,7750.0
